_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,PARKING_TYPE,FLANKING,BICYCLE_CAPACITY,SIZE_M,YEAR_INSTALLED,BY_LAW,DETAILS,OBJECTID,geometry
9450,773157,1032,Bloor St W,1032 Bloor St W,M6H 1M2,former Toronto,Toronto,Davenport (9),,107010,1143789,1032,,,,458,,,-79.4316095102,43.6609655067,7,Bike Rack,Salem Ave,8,2.9,2015,,,90,"{u'type': u'Point', u'coordinates': (-79.4316062598, 43.6609569225)}"
9451,20364734,157,Dan Leckie Way,157 Dan Leckie Way,M5V 4A8,former Toronto,Toronto,Spadina-Fort York (10),,100001,20364648,157,,,,17007,,,-79.398005538,43.639893113,25,Bike Rack,Dan Leckie Way,8,2.9,2016,,,91,"{u'type': u'Point', u'coordinates': (-79.3980055327, 43.6398931179)}"
9452,7792268,595,Bay St,595 Bay St,M5G 2C2,former Toronto,Toronto,University-Rosedale (11),,104008,7792266,595,,,,2962,,,-79.3833010622,43.6562210316,86,Bike Rack,Dundas St W,8,2.9,2016,,,92,"{u'type': u'Point', u'coordinates': (-79.3832978279, 43.6562124477)}"
9453,14210933,5,Salem Ave,5 Salem Ave,M6H 3C2,former Toronto,Toronto,Davenport (9),,115001,14011464,5,,,,4354,,,-79.43156335340001,43.6608537092,75,Bike Rack,Salem Ave,8,2.9,2014,,,93,"{u'type': u'Point', u'coordinates': (-79.4315601024, 43.6608451251)}"
9454,14210930,1036,Bloor St W,1036 Bloor St W,M6H 1M3,former Toronto,Toronto,Davenport (9),,115001,1143821,1036,,,,458,,,-79.4319416136,43.66082990060001,9,Bike Rack,Bloor St W,8,2.9,2014,,,94,"{u'type': u'Point', u'coordinates': (-79.4319383641, 43.6608213174)}"
9455,8417835,1,Albany Ave,1 Albany Ave,M5R 3C2,former Toronto,Toronto,University-Rosedale (11),,115001,14014600,1,,,,2859,,,-79.4099418347,43.6657287758,1,Bike Rack,Bloor St W,8,2.9,2017,,,95,"{u'type': u'Point', u'coordinates': (-79.4099385909, 43.6657201947)}"
9456,20362129,163,Dan Leckie Way,163 Dan Leckie Way,M5V 4A8,former Toronto,Toronto,Spadina-Fort York (10),,100001,20364648,163,,,,17007,,,-79.398068614,43.640054195,27,Bike Rack,Iceboat Ter,8,2.9,2016,,,96,"{u'type': u'Point', u'coordinates': (-79.3980686082, 43.6400541998)}"
9457,7641709,26,Dundas St E,26 Dundas St E,M5B 2L6,former Toronto,Toronto,Toronto Centre (13),,115001,7641747,26,,,,3334,,,-79.3799807535,43.656526158999995,47,Bike Rack,Victoria St,8,2.9,2017,,,97,"{u'type': u'Point', u'coordinates': (-79.3799775246, 43.6565175761)}"
9458,13968174,38,Orchard View Blvd,38 Orchard View Blvd,M4R 2G3,former Toronto,Toronto,Eglinton-Lawrence (8),,107009,10258454,38,,,,4111,,,-79.3996833833,43.7082253083,62,Bike Rack,Yonge St,8,2.9,2016,,,98,"{u'type': u'Point', u'coordinates': (-79.3996801446, 43.7082167133)}"
9459,7929674,200,King St W,200 King St W,M5H 3T4,former Toronto,Toronto,Spadina-Fort York (10),,104008,7929673,200,,,,3780,,,-79.3857236532,43.6479138553,36,Bike Rack,University Ave,8,2.9,2016,,,99,"{u'type': u'Point', u'coordinates': (-79.3857204176, 43.6479052738)}"
9460,3120556,1030,King St W,1030 King St W,M6K 0B4,former Toronto,Toronto,Spadina-Fort York (10),,113001,3155022,1030,,,,3780,,,-79.4157619233,43.641589429700005,6,Bike Rack,King St W,16,2.9,2016,,,100,"{u'type': u'Point', u'coordinates': (-79.4157586755, 43.6415808537)}"
9461,10154425,1,St Clair Ave E,1 St Clair Ave E,M4T 2V7,former Toronto,Toronto,Toronto-St. Paul's (12),,115001,10154405,1,,,,339,,,-79.3935741178,43.687919745100004,2,Bike Rack,Yonge St,24,2.9,2016,,,101,"{u'type': u'Point', u'coordinates': (-79.3935708744, 43.6879111568)}"
9462,7939998,10,Linnsmore Cres,10 Linnsmore Cres,M4J 4J6,former Toronto,Toronto,Toronto-Danforth (14),,115001,14023269,10,,,,11375,,,-79.33029539489999,43.682580621199996,3,Bike Rack,Linnsmore Cr,18,2.9,2016,,,102,"{u'type': u'Point', u'coordinates': (-79.3302921709, 43.6825720317)}"
9463,20140670,101,Sherbourne St,101 Sherbourne St,M5A 2R3,former Toronto,Toronto,Toronto Centre (13),,112001,1144819,101,,,,4391,,,-79.3689149321,43.653670735,5,Bike Rack,Richmond St E,8,2.9,2016,,,103,"{u'type': u'Point', u'coordinates': (-79.3689116973, 43.6536621558)}"
9464,7553175,1184,Queen St W,1184 Queen St W,M6J 1J5,former Toronto,Toronto,Davenport (9),,115001,7553178,1184,,,,4238,,,-79.4257879468,43.6430370819,12,Bike Corral,Northcote Ave,14,5.5,2013,NO,,104,"{u'type': u'Point', u'coordinates': (-79.4257846968, 43.6430284992)}"
9465,30072958,1190,Dundas St E,1190 Dundas St E,M4M 0C5,former Toronto,Toronto,Toronto-Danforth (14),,115001,7576995,1190,,,,3334,,,-79.34103364,43.665267525,13,Bike Rack,Carlaw Ave,8,2.9,2016,,,105,"{u'type': u'Point', u'coordinates': (-79.3410336456, 43.6652675256)}"
9466,8408615,12,Madison Ave,12 Madison Ave,M5R 2S1,former Toronto,Toronto,University-Rosedale (11),,115001,30104520,12,,,,3896,,,-79.40332134100001,43.667759198,15,Bike Rack,Madison Ave,8,2.9,2016,,,106,"{u'type': u'Point', u'coordinates': (-79.4033213403, 43.6677591999)}"
9467,7570973,12,Ossington Ave,12 Ossington Ave,M6J 2Y7,former Toronto,Toronto,Spadina-Fort York (10),,107010,7570969,12,,,,4125,,,-79.4193814148,43.6444679051,16,Angled Bike Rack,Ossington Ave,5,2.9,2016,,,107,"{u'type': u'Point', u'coordinates': (-79.4193781682, 43.6444593301)}"
9468,773911,122,Bond St,122 Bond St,M5B 1X8,former Toronto,Toronto,Toronto Centre (13),,102007,14021112,122,,,,3029,,,-79.3791420197,43.6573867013,17,Bike Rack,Bond St,16,2.9,2016,,,108,"{u'type': u'Point', u'coordinates': (-79.3791387852, 43.6573781216)}"
9469,773913,137,Bond St,137 Bond St,M5B 1Y2,former Toronto,Toronto,Toronto Centre (13),,102008,14021112,137,,,,3029,,,-79.3787214014,43.657831292,19,Bike Rack,Dalhousie St,8,2.9,2016,,,109,"{u'type': u'Point', u'coordinates': (-79.3787181688, 43.6578227118)}"
9470,7930799,124,Spadina Ave,124 Spadina Ave,,former Toronto,Toronto,Spadina-Fort York (10),,115001,7930670,124,,,,4426,,,-79.396341776,43.647192489300004,18,Bike Corral,Camden St,28,12.0,2015,NO,,110,"{u'type': u'Point', u'coordinates': (-79.3963385441, 43.6471839085)}"
9471,14069353,192,Spadina Ave,192 Spadina Ave,M5T 2C2,former Toronto,Toronto,Spadina-Fort York (10),,104008,10494196,192,,,,4426,,,-79.3976521421,43.6499464725,29,Bike Corral,Spadina Ave,14,5.5,2015,NO,,111,"{u'type': u'Point', u'coordinates': (-79.3976488984, 43.6499378952)}"
9472,14199528,196,Spadina Ave,196 Spadina Ave,M5T 2C2,former Toronto,Toronto,Spadina-Fort York (10),,115001,10494196,196,,,,4426,,,-79.39737389369999,43.650133133000004,30,Bike Rack,Spadina Ave,8,2.9,2016,,,112,"{u'type': u'Point', u'coordinates': (-79.397370652, 43.65012455)}"
9473,9980057,1978,Queen St E,1978 Queen St E,M4L 1H8,former Toronto,Toronto,Beaches-East York (19),,115001,9980046,1978,,,,4237,,,-79.3011395253,43.6699814494,31,Bike Rack,Waverley Rd,8,2.9,2017,,,113,"{u'type': u'Point', u'coordinates': (-79.3011363155, 43.669972861)}"
9474,9468140,20,Northcote Ave,20 Northcote Ave,,former Toronto,Toronto,Davenport (9),,115001,14018614,20,,,,4070,,,-79.42643799560001,43.6431341376,33,Bike Shelter,Northcote Ave,10,3.0,2015,,,114,"{u'type': u'Point', u'coordinates': (-79.4264347477, 43.6431255581)}"
9475,14207146,205,Spadina Ave,205 Spadina Ave,M5T 2C7,former Toronto,Toronto,Spadina-Fort York (10),,115001,10494196,205,,,,4426,,,-79.3966222664,43.6504340201,38,Bike Corral,Spadina Ave,14,11.0,2010,Y,,115,"{u'type': u'Point', u'coordinates': (-79.3966190322, 43.6504254363)}"
9476,11382307,777,Victoria Park Ave,777 Victoria Park Ave,,Scarborough,Toronto,Scarborough Southwest (20),,108001,11382305,777,,,,370,,,-79.289157057,43.694543565,103,Bike Rack,Victoria Park Ave,8,2.9,0,,,116,"{u'type': u'Point', u'coordinates': (-79.2891570512, 43.69454357)}"
9477,30025064,78,Tecumseth St,78 Tecumseth St,M5V 0A9,former Toronto,Toronto,Spadina-Fort York (10),,100002,20053421,78,,,,4534,,,-79.405441427,43.643048043,104,Bike Rack,King St W,8,2.9,2016,,,117,"{u'type': u'Point', u'coordinates': (-79.4054414222, 43.6430480473)}"
