_id,OBJECTID,SASP_NO,OPA_NO,MODIFICATION_NO,APPLICATION_NO,LOCATION,EFFECTIVE_YEAR,NOTES,X,Y,LONGITUDE,LATITUDE,Shape__Area,Shape__Length,geometry
5878,1614,002,,,,"West Side of The West Mall, East of Etobicoke Creek",,,,,-79.5671489124,43.615378460900004,9943.765625,448.18540574034597,"{u'type': u'MultiPolygon', u'coordinates': [(((-79.5666979029419, 43.61497065392795), (-79.56744725356464, 43.61488001108345), (-79.56744573025331, 43.61506896972721), (-79.56743608513564, 43.6152851174337), (-79.56746327339376, 43.6154678481471), (-79.56744888034409, 43.61565933476184), (-79.56738535887717, 43.61586930323889), (-79.56704013141454, 43.616018587650046), (-79.56688206835113, 43.61542795331883), (-79.5666979029419, 43.61497065392795)),)]}"
5879,1615,003,,,,124 Belfield Road,,,,,-79.5747676852,43.703105674700005,19445.69921875,642.859480830431,"{u'type': u'MultiPolygon', u'coordinates': [(((-79.57480511886077, 43.70235241373123), (-79.57545180827425, 43.70376596339514), (-79.57543892090924, 43.70376921236072), (-79.575432473957, 43.703773177177034), (-79.5747713111612, 43.70393139495073), (-79.57407778890791, 43.70244964214554), (-79.5743180097721, 43.70239232809529), (-79.57477360571995, 43.70228356556542), (-79.57480511886077, 43.70235241373123)),)]}"
5880,1616,004,,,,Monogram Place,,,,,-79.5565192845,43.7040805454,65334.5859375,1241.89282538166,"{u'type': u'MultiPolygon', u'coordinates': [(((-79.55624530358891, 43.70346357624026), (-79.55639736069696, 43.70342750521069), (-79.55654848705444, 43.703391425437836), (-79.55669972490597, 43.70335535441092), (-79.55685085090887, 43.70331928323921), (-79.55700208839738, 43.70328321181203), (-79.5571512660706, 43.70324714121433), (-79.5573029126423, 43.70321106918412), (-79.55745403792044, 43.703174997214504), (-79.55760527468382, 43.7031389249886), (-79.55775680912969, 43.703102942424835), (-79.55790609757776, 43.70306687978627), (-79.55805722213123, 43.70303080701864), (-79.55820877271748, 43.70299924347429), (-79.55836154710856, 43.70296317846505), (-79.55851308496574, 43.702931623524655), (-79.55858910781045, 43.702909090389745), (-79.55859567204816, 43.70292258894207), (-79.55864859626311, 43.70304408805317), (-79.55832067535475, 43.70325565083927), (-79.55677654815227, 43.70470550772163), (-79.55622954882398, 43.70521876076265), (-79.55610365635143, 43.70533583918868), (-79.55580216407634, 43.705597023716166), (-79.55577539140197, 43.70553401886459), (-79.5550767284781, 43.703950196218486), (-79.55500646935567, 43.70377927780565), (-79.55624530358891, 43.70346357624026)),)]}"
5881,1617,005,,,,20 Thompson Avenue,,,,,-79.514669687,43.64602414189999,1461.8671875,199.193982653582,"{u'type': u'MultiPolygon', u'coordinates': [(((-79.51431774339608, 43.64615639178148), (-79.51431883014062, 43.64603486417498), (-79.51499738321425, 43.64589521995424), (-79.51504311397255, 43.64600774005075), (-79.51431774339608, 43.64615639178148)),)]}"
5882,1618,006,,,,"South Side of The Queensway, Between Zorra Street and St. Lawrence Avenue, North of the Gardiner Expressway",,,,,-79.5201824871,43.6209421613,134395.59375,1466.85619813376,"{u'type': u'MultiPolygon', u'coordinates': [(((-79.51839450756735, 43.620470653101705), (-79.51837170796944, 43.62038514338591), (-79.51863495940574, 43.620322081914765), (-79.51857994313262, 43.62019157044031), (-79.51852492709753, 43.6200610589363), (-79.5184699113254, 43.61993062841553), (-79.51846562152974, 43.61992162769906), (-79.51968064705326, 43.619682905633645), (-79.52072449243795, 43.61948020744575), (-79.52113216356153, 43.619399120123084), (-79.52114034739255, 43.61941713043197), (-79.521361141081, 43.61994368086488), (-79.52147117302134, 43.62020461110462), (-79.52154397943048, 43.62038013388119), (-79.5216533051202, 43.6206366533686), (-79.52176486527836, 43.62090218272387), (-79.52180904998588, 43.62100560948027), (-79.52187523526534, 43.621163130469164), (-79.52193067008072, 43.6212981499601), (-79.52198570700503, 43.62142866879398), (-79.52204656030496, 43.621572688587065), (-79.52215969919932, 43.62184272691341), (-79.52171442603849, 43.621941818825334), (-79.52129867530209, 43.62203181208468), (-79.5210387739404, 43.62208586864694), (-79.52059859752349, 43.622171453161705), (-79.51994002412948, 43.622306582013636), (-79.51950710845985, 43.62240116246137), (-79.51934522038292, 43.622432694889824), (-79.5192492426372, 43.622437202792135), (-79.51916440516938, 43.622405712126415), (-79.51911215941027, 43.622347202735256), (-79.51901101116785, 43.62210417264265), (-79.51854333908187, 43.62098821902826), (-79.51839450756735, 43.620470653101705)),)]}"
5883,1619,008,,,,2487 Lake Shore Boulevard West,,,,,-79.48846171560001,43.612971620799996,7996.72265625,572.41869304013,"{u'type': u'MultiPolygon', u'coordinates': [(((-79.48887859618243, 43.612946616487555), (-79.48953248147494, 43.61308169953394), (-79.48941665863863, 43.61328873953562), (-79.48867182782213, 43.61313564401566), (-79.48761000826342, 43.61291544914125), (-79.487593052054, 43.612895365133056), (-79.48749190647742, 43.612790397546675), (-79.48737726796381, 43.61269442079933), (-79.48725322486271, 43.612607264279774), (-79.4872432161106, 43.61260069212605), (-79.48754568602192, 43.61267202573292), (-79.48887859618243, 43.612946616487555)),)]}"
5884,1620,009,,,,"Lake Shore Boulevard West, South of Birmingham Street, East of Fourteenth Street, and West of Ninth Street",,,,,-79.5101159845,43.600885588699995,157548.01953125,1816.10053047453,"{u'type': u'MultiPolygon', u'coordinates': [(((-79.50881284850477, 43.600113190066814), (-79.50929583335817, 43.600009374203516), (-79.51017913550004, 43.59981749626238), (-79.51070083124377, 43.599694056863896), (-79.51089077597348, 43.59964363085499), (-79.51184108569818, 43.59943581010749), (-79.5119487785443, 43.59941473552863), (-79.51234592184268, 43.599334499484684), (-79.51263284296216, 43.59997577583891), (-79.5126622804195, 43.60001322757811), (-79.51283777872541, 43.60041243989943), (-79.51173143334077, 43.6006555886619), (-79.51171365982201, 43.60066009120435), (-79.51184920515502, 43.60098405705173), (-79.51153215090001, 43.601051600268356), (-79.51148575338343, 43.601062127621674), (-79.51148534461441, 43.60106203764834), (-79.51096741510054, 43.601177657985424), (-79.51126658292553, 43.60189742892499), (-79.51132095980991, 43.602028214445085), (-79.51078289380303, 43.6021460862783), (-79.51065189649073, 43.60216769300746), (-79.51009543383394, 43.60228619341549), (-79.50997558502, 43.6023140993902), (-79.50941911968586, 43.602432596503526), (-79.50923785674631, 43.602458985504704), (-79.50869978283316, 43.60257685652699), (-79.50823936857728, 43.601582168764445), (-79.50807625685911, 43.60116735809901), (-79.50803874886323, 43.60106041464349), (-79.50773060957779, 43.60026824617381), (-79.50858376201482, 43.60009024482132), (-79.50861238409507, 43.60015973379128), (-79.50881284850477, 43.600113190066814)),)]}"
5885,1621,011,,,,77 Janda Court,,,,,-79.6017054779,43.7239853477,34007.0546875,774.104509706821,"{u'type': u'MultiPolygon', u'coordinates': [(((-79.60259996198116, 43.72442325183396), (-79.60146116667435, 43.724842673152196), (-79.60130899639725, 43.724820305017936), (-79.60116576422959, 43.72476191479702), (-79.60105279669192, 43.72467650291542), (-79.60097972049645, 43.724568543576495), (-79.60092289861812, 43.72444256735118), (-79.60091033949034, 43.724406564463806), (-79.60090248030625, 43.72429414586779), (-79.60094375420535, 43.72418608549715), (-79.60128459390295, 43.723641172693014), (-79.60134639199995, 43.723501589618614), (-79.60135934765687, 43.723353129595296), (-79.60132337683503, 43.72320463193662), (-79.60128637048753, 43.723119143900334), (-79.60128754615003, 43.72308763849859), (-79.60132701889384, 43.72306059977652), (-79.60193379951255, 43.72292502357853), (-79.60209391122841, 43.723285146538096), (-79.60209289393963, 43.72328541748404), (-79.60258323415131, 43.72439608309221), (-79.60259996198116, 43.72442325183396)),)]}"
5886,1622,012,,,,"South of Trillium Health Centre, West of The West Mall",,,,,-79.5602809018,43.6069568105,119464.41796875,1481.20381901995,"{u'type': u'MultiPolygon', u'coordinates': [(((-79.55878845379785, 43.608178236837496), (-79.55853079770444, 43.60781991417328), (-79.55842322040996, 43.60752389421063), (-79.55833709328054, 43.60711874786065), (-79.55855123783368, 43.606760165447525), (-79.55889390535665, 43.60629248214439), (-79.55932236910394, 43.60579351832114), (-79.55964370595981, 43.60545052259558), (-79.56329142658014, 43.60727179211985), (-79.55878845379785, 43.608178236837496)),)]}"
5887,1623,013,,,,"Lands Bounded by The Queensway, The West Mall, Evans Avenue and the Queen Elizabeth Way",,,,,-79.5568261788,43.611940346800004,666155.30078125,3267.3247627655796,"{u'type': u'MultiPolygon', u'coordinates': [(((-79.55674405104368, 43.60913354714117), (-79.55728742464456, 43.60898517567796), (-79.55813673822844, 43.60893540110971), (-79.5587822987095, 43.60908313546333), (-79.55929214873547, 43.609329691277836), (-79.56010786561328, 43.60969950294476), (-79.560549739573, 43.609921343926), (-79.56095776084094, 43.61031613661409), (-79.56123016104662, 43.61088365684283), (-79.5617405432139, 43.61172264800699), (-79.5621487975641, 43.61221610977435), (-79.5611644611329, 43.61303117021144), (-79.5598740181761, 43.61355029910856), (-79.55899097305354, 43.613871604756994), (-79.557700054974, 43.61397101815675), (-79.55647706365714, 43.61404571055298), (-79.5560692225791, 43.61394716574417), (-79.5547445434356, 43.61424398143063), (-79.55375954744416, 43.61456536741976), (-79.5527065244707, 43.614788057744036), (-79.5518573203591, 43.61493652841987), (-79.5516184348484, 43.614072518420656), (-79.55192351436376, 43.6131344413785), (-79.5522626385173, 43.612393838993675), (-79.55273781410015, 43.61187530992248), (-79.55358662426544, 43.611208503894), (-79.55494421509349, 43.60977619197484), (-79.55535154227236, 43.60945516667585), (-79.55633654919116, 43.609257167232855), (-79.55674405104368, 43.60913354714117)),)]}"
